التاريخ,الزمن,المحافظة,المدينة,نوع المدينة,الطريق,مستوى الزحام (%),وقت التأخير (دقائق لـ10 كم),السرعة المتوسطة (كم/س),ساعة ذروة,حالة الطريق
2022-02-06,09:31,Giza,Faisal,حضرية,El Bahr El Aazam St.,48,27.6,28.4,نعم,جاف
2023-02-13,12:27,Giza,Imbaba,حضرية,El-Lebbini St.,62,17.8,29.9,نعم,جاف
2022-02-06,18:31,Cairo,Maadi,حضرية,Autostrad Road,25,36.1,15.4,نعم,جاف
2022-03-01,12:35,Cairo,Gesr El Suez,صناعية,Ramses St.,40,16.9,26.1,نعم,جاف
2024-12-07,06:41,Giza,Dokki,حضرية,Giza Square,42,19.0,24.0,لا,جاف
2024-07-04,19:38,Giza,Faisal,حضرية,Ring Road (Giza Section),40,31.1,22.9,نعم,جاف
2022-03-09,16:19,Giza,Faisal,حضرية,Faisal Road,66,33.4,26.5,نعم,جاف
2024-01-04,13:27,Cairo,Downtown,حضرية,Salah Salem St.,65,18.8,20.2,لا,جاف
2023-11-19,07:17,Cairo,Zeitoun,حضرية,15th of May Bridge,32,22.9,22.0,نعم,جاف
2022-05-03,12:04,Cairo,Zeitoun,حضرية,6th October Bridge,69,18.36,22.2,نعم,تحت الصيانة
2022-06-13,04:33,Giza,Dokki,حضرية,Faisal Road,77,17.7,24.1,لا,مبلل
2025-07-03,08:39,Cairo,Gesr El Suez,صناعية,Ramses St.,35,23.6,20.9,نعم,جاف
2025-02-23,00:16,Giza,Haram,حضرية,Ring Road (Giza Section),52,17.2,29.9,لا,مبلل
2025-01-15,03:06,Cairo,Nasr City,حضرية,Salah Salem St.,38,18.0,28.7,لا,جاف
2025-02-02,07:50,Cairo,Heliopolis,حضرية,Ring Road,70,28.9,28.3,نعم,جاف
2023-12-16,15:15,Cairo,Zamalek,حضرية,Autostrad Road,75,39.9,18.6,نعم,جاف
2023-04-12,15:25,Alexandria,Miami,حضرية,Desert Road,60,41.4,20.0,نعم,جاف
2025-04-22,12:15,Cairo,Nasr City,حضرية,Ramses St.,70,15.6,16.5,نعم,مبلل
2024-08-27,09:48,Giza,Sheikh Zayed City,حضرية,El Bahr El Aazam St.,21,24.5,28.9,نعم,تحت الصيانة
2024-04-08,07:33,Qalyubia,Khanka,ريفية,Banha Bypass,36,14.879999999999999,31.9,نعم,جاف
2023-12-15,18:56,Cairo,Nasr City,حضرية,Al Mehwar Al Markazy,75,34.3,29.6,نعم,جاف
2024-04-06,15:43,Giza,Sheikh Zayed City,حضرية,El-Lebbini St.,72,39.72,17.1,نعم,جاف
2024-03-29,12:08,Cairo,Shubra,حضرية,Ring Road,77,18.119999999999997,24.5,نعم,جاف
2022-07-01,04:34,Giza,Dokki,حضرية,Faisal Road,67,19.7,27.9,لا,جاف
2022-09-20,16:32,Cairo,Maadi,حضرية,Al Fangari Bridge,64,33.0,24.1,نعم,جاف
2024-04-27,08:44,Giza,Sheikh Zayed City,حضرية,Saqqara Road,49,26.2,15.3,نعم,مبلل
2024-10-05,19:59,Cairo,Nasr City,حضرية,Al Mehwar Al Markazy,45,35.4,28.9,نعم,جاف
2024-01-21,07:27,Cairo,Downtown,حضرية,Al Mehwar Al Markazy,24,22.1,26.3,نعم,مبلل
2023-04-20,08:26,Giza,Haram,حضرية,El Bahr El Aazam St.,66,33.12,18.9,نعم,جاف
2023-10-07,07:23,Cairo,Maadi,حضرية,Corniche El Nil,32,29.7,20.4,نعم,جاف
2022-10-31,22:43,Cairo,Zamalek,حضرية,Ring Road,66,18.4,17.4,لا,تحت الصيانة
2022-03-25,15:28,Alexandria,Montazah,حضرية,Kafr Abdou St.,62,36.2,29.7,نعم,مبلل
2023-09-09,17:08,Giza,Dokki,حضرية,Faisal Road,52,31.7,21.2,نعم,جاف
2022-01-13,17:56,Cairo,Gesr El Suez,صناعية,Nasr Road,54,28.7,26.8,نعم,جاف
2025-04-29,16:20,Giza,Agouza,حضرية,Ring Road (Giza Section),78,33.7,22.0,نعم,مبلل
2024-11-08,12:57,Qalyubia,Toukh,ريفية,Qalyub Main St.,37,8.5,39.3,نعم,جاف
2024-03-31,16:59,Cairo,Downtown,حضرية,15th of May Bridge,78,45.0,23.0,نعم,جاف
2023-07-15,00:09,Cairo,Zeitoun,حضرية,Nasr Road,51,17.6,17.8,لا,تحت الصيانة
2024-03-25,12:52,Cairo,Zamalek,حضرية,Nasr Road,65,19.08,22.7,نعم,جاف
2023-12-14,07:44,Qalyubia,Shibin El Qanater,ريفية,Qalyub Main St.,22,15.6,44.0,نعم,جاف
2023-07-26,17:47,Luxor,Luxor First,سياحية,Karnak Temple Road,25,22.0,28.7,نعم,جاف
2025-01-30,12:25,Alexandria,Roushdy,حضرية,Abu Qir Road,31,17.8,24.3,نعم,جاف
2023-05-26,12:10,Alexandria,Glim,حضرية,El-Montazah Bridge,56,19.2,18.4,نعم,مبلل
2022-03-21,13:50,Cairo,Nasr City,حضرية,Ring Road,49,18.4,20.8,لا,جاف
2024-10-31,12:00,Alexandria,Stanley,حضرية,Sidi Gaber Road,38,17.8,15.8,نعم,جاف
2023-02-06,03:16,Alexandria,Montazah,حضرية,Kafr Abdou St.,59,17.3,21.5,لا,مبلل
2024-01-23,07:27,Alexandria,San Stefano,حضرية,Sidi Gaber Road,74,24.0,20.1,نعم,مبلل
2023-03-06,13:44,Alexandria,Sidi Gaber,حضرية,Miami Beach Road,59,19.3,24.2,لا,جاف
2023-07-21,12:12,Cairo,Downtown,حضرية,Al Mehwar Al Markazy,71,17.9,27.9,نعم,جاف
2024-09-16,10:48,Alexandria,Glim,حضرية,El-Montazah Bridge,20,15.6,17.3,لا,جاف
2023-02-02,16:31,Cairo,Heliopolis,حضرية,Ramses St.,55,36.9,28.7,نعم,مبلل
2023-02-27,10:28,Cairo,Zamalek,حضرية,Nasr Road,16,16.7,19.5,لا,تحت الصيانة
2022-05-05,06:32,Alexandria,Stanley,حضرية,Kafr Abdou St.,19,19.8,15.6,لا,مبلل
2023-08-15,15:34,Giza,Sheikh Zayed City,حضرية,Faisal Road,28,34.8,26.5,نعم,جاف
2024-09-26,23:01,Monufia,Berket El Sabaa,ريفية,Shebin El Kom-Tanta Road,39,13.6,36.1,لا,جاف
2023-02-23,03:01,Alexandria,Sidi Gaber,حضرية,Miami Beach Road,43,16.0,21.1,لا,جاف
2022-05-26,19:24,Cairo,Zeitoun,حضرية,Autostrad Road,65,35.3,18.4,نعم,جاف
2022-06-08,23:59,Giza,Faisal,حضرية,Faisal Road,80,17.4,25.3,لا,تحت الصيانة
2022-06-21,19:43,Alexandria,Glim,حضرية,El-Horreya Ave,42,30.8,28.8,نعم,جاف
2025-08-07,18:03,Alexandria,Glim,حضرية,Corniche Road,32,38.7,27.6,نعم,جاف
2025-09-02,05:21,Qalyubia,Shibin El Qanater,ريفية,Cairo-Ismailia Road,24,10.5,39.2,لا,جاف
2024-06-21,19:57,Giza,Dokki,حضرية,El-Lebbini St.,61,39.5,25.5,نعم,مبلل
2022-12-03,09:34,Alexandria,Glim,حضرية,Kafr Abdou St.,15,29.3,26.2,نعم,جاف
2024-04-02,00:59,Alexandria,Smouha,حضرية,El-Horreya Ave,70,18.0,23.4,لا,جاف
2023-10-03,18:53,Giza,Haram,حضرية,Ring Road (Giza Section),57,38.3,16.3,نعم,جاف
2023-02-18,10:32,Cairo,Shubra,حضرية,Ring Road,18,19.0,28.6,لا,جاف
2024-07-04,16:24,Cairo,Downtown,حضرية,6th October Bridge,25,30.6,20.8,نعم,جاف
2024-10-28,07:50,Giza,6th October City,حضرية,Faisal Road,42,26.2,27.2,نعم,مبلل
2022-05-23,13:33,Giza,Haram,حضرية,El Bahr El Aazam St.,51,17.8,17.2,لا,تحت الصيانة
2023-10-12,15:53,Cairo,Shubra,حضرية,Corniche El Nil,28,37.3,23.2,نعم,جاف
2024-07-06,14:34,Cairo,Heliopolis,حضرية,Al Azhar St.,72,15.3,20.1,لا,مبلل
2025-04-29,08:07,Cairo,Heliopolis,حضرية,Ring Road,50,23.1,21.2,نعم,جاف
2024-07-18,16:52,Cairo,Maadi,حضرية,Ramses St.,72,31.9,20.4,نعم,تحت الصيانة
2024-04-19,09:42,Cairo,Zeitoun,حضرية,Al Azhar St.,67,22.3,21.7,نعم,جاف
2024-09-29,07:40,Giza,6th October City,حضرية,Pyramids Road,66,28.8,20.5,نعم,مبلل
2024-11-28,16:45,Cairo,Shubra,حضرية,Al Mehwar Al Markazy,62,34.3,22.2,نعم,تحت الصيانة
2024-08-18,04:58,Giza,Dokki,حضرية,Alexandria Desert Road,70,17.4,18.6,لا,جاف
2024-10-11,16:54,Cairo,Shubra,حضرية,Ramses St.,66,31.6,27.4,نعم,مبلل
2024-02-07,08:42,Cairo,Heliopolis,حضرية,15th of May Bridge,74,27.0,19.3,نعم,جاف
2024-04-04,08:29,Alexandria,Smouha,حضرية,Stanley Bridge,71,27.84,18.6,نعم,جاف
2024-05-07,06:49,Sharqia,Faqus,ريفية,Faqus Main St.,12,14.8,42.0,لا,جاف
2023-01-08,01:20,Cairo,Heliopolis,حضرية,Ring Road,48,19.1,23.8,لا,جاف
2025-05-29,20:27,Giza,Faisal,حضرية,Faisal Road,76,18.6,29.6,لا,جاف
2023-10-20,15:38,Giza,Haram,حضرية,El Mansoureya Road,68,38.5,21.8,نعم,جاف
2022-02-02,01:05,Alexandria,Montazah,حضرية,Kafr Abdou St.,53,16.6,29.8,لا,مبلل
2024-09-29,08:43,Giza,Haram,حضرية,Giza Square,35,25.1,17.3,نعم,جاف
2023-04-20,15:48,Cairo,Downtown,حضرية,6th October Bridge,58,35.279999999999994,19.0,نعم,مبلل
2023-03-17,15:25,Cairo,Shubra,حضرية,Autostrad Road,69,28.9,26.0,نعم,جاف
2023-12-20,17:09,Alexandria,Glim,حضرية,Miami Beach Road,21,39.6,28.4,نعم,جاف
2022-10-07,10:49,Cairo,Heliopolis,حضرية,Ramses St.,61,18.8,28.3,لا,تحت الصيانة
2022-05-01,17:45,Giza,6th October City,حضرية,El Mansoureya Road,70,40.440000000000005,15.7,نعم,جاف
2023-10-12,19:25,Giza,6th October City,حضرية,Saqqara Road,71,33.5,25.5,نعم,جاف
2024-06-28,00:36,Cairo,Zamalek,حضرية,Salah Salem St.,78,18.4,21.7,لا,جاف
2022-12-05,05:26,Giza,Haram,حضرية,El Bahr El Aazam St.,67,16.0,29.0,لا,جاف
2022-12-29,08:15,Giza,6th October City,حضرية,Giza Square,70,26.4,29.5,نعم,جاف
2022-09-17,20:00,Alexandria,Roushdy,حضرية,Corniche Road,31,15.2,18.1,لا,جاف
2024-02-09,12:31,Cairo,Shubra,حضرية,Salah Salem St.,74,15.9,20.2,نعم,مبلل
2022-12-07,09:47,Cairo,Nasr City,حضرية,6th October Bridge,53,25.7,26.7,نعم,جاف
2022-03-08,19:53,Qalyubia,Banha,حضرية,Obour Access Road,59,33.1,26.4,نعم,جاف
2024-06-01,15:08,Cairo,Zamalek,حضرية,Nasr Road,25,30.1,19.3,نعم,جاف
2022-08-12,02:09,Cairo,Zeitoun,حضرية,Salah Salem St.,65,18.3,16.2,لا,جاف
2024-07-02,04:40,Giza,Sheikh Zayed City,حضرية,Giza Square,15,19.7,16.5,لا,جاف
2024-08-13,09:27,Qalyubia,Qalyub,صناعية,Obour Access Road,17,24.9,31.0,نعم,جاف
2022-10-31,12:47,Cairo,Zamalek,حضرية,Nasr Road,18,16.7,21.2,نعم,جاف
2024-11-04,09:53,Giza,Dokki,حضرية,El-Lebbini St.,38,24.4,22.1,نعم,مبلل
2023-02-11,22:43,Qalyubia,Banha,حضرية,Obour Access Road,37,16.1,27.4,لا,جاف
2023-10-14,07:20,Giza,Dokki,حضرية,El-Lebbini St.,39,28.5,19.3,نعم,جاف
2023-10-20,12:13,Cairo,Zamalek,حضرية,Suez Road,58,18.2,23.6,نعم,جاف
2023-04-08,16:42,Giza,Haram,حضرية,El Bahr El Aazam St.,75,42.48,16.8,نعم,جاف
2024-12-01,02:55,Giza,6th October City,حضرية,El-Lebbini St.,17,17.4,29.6,لا,مبلل
2025-09-08,15:21,Cairo,Zeitoun,حضرية,Salah Salem St.,48,38.5,29.1,نعم,جاف
2022-09-18,07:24,Sharqia,Abu Kabir,ريفية,Ismailia Canal Road,30,16.8,37.1,نعم,جاف
2025-01-20,17:54,Alexandria,Sidi Gaber,حضرية,Gamal Abdel Nasser St.,27,38.4,19.3,نعم,جاف
2024-04-29,07:31,Cairo,Shubra,حضرية,Salah Salem St.,69,27.2,19.2,نعم,مبلل
2024-06-18,12:25,Cairo,Zamalek,حضرية,Corniche El Nil,74,19.3,24.6,نعم,جاف
2024-09-26,04:03,Cairo,Zeitoun,حضرية,Salah Salem St.,73,17.3,29.0,لا,جاف
2023-01-05,19:49,Qalyubia,Toukh,ريفية,Obour Access Road,38,16.8,39.0,نعم,جاف
2024-04-23,16:16,Giza,Dokki,حضرية,El Mansoureya Road,73,37.9,17.4,نعم,جاف
2023-08-18,12:58,Cairo,Zamalek,حضرية,Al Fangari Bridge,66,15.1,29.0,نعم,جاف
2024-04-27,04:28,Giza,6th October City,حضرية,El-Lebbini St.,50,15.8,17.8,لا,جاف
2024-08-07,09:43,Alexandria,Sidi Gaber,حضرية,Gamal Abdel Nasser St.,76,26.3,29.6,نعم,مبلل
2023-05-16,12:30,Cairo,Nasr City,حضرية,Salah Salem St.,40,15.2,26.1,نعم,تحت الصيانة
2024-02-20,10:18,Cairo,Maadi,حضرية,Corniche El Nil,18,19.9,26.9,لا,مبلل
2022-07-15,16:05,Giza,Imbaba,حضرية,El Mansoureya Road,72,33.9,24.0,نعم,مبلل
2023-07-11,18:03,Giza,Dokki,حضرية,El-Lebbini St.,58,37.5,24.4,نعم,جاف
2025-01-30,10:00,Cairo,Gesr El Suez,صناعية,Al Fangari Bridge,22,16.1,22.6,لا,مبلل
2022-05-12,07:37,Giza,Faisal,حضرية,Ring Road (Giza Section),29,22.9,26.8,نعم,جاف
2022-07-16,08:24,Alexandria,Miami,حضرية,Kafr Abdou St.,47,24.6,28.9,نعم,جاف
2024-08-23,20:35,Giza,Agouza,حضرية,Faisal Road,80,19.9,16.3,لا,جاف
2024-07-03,18:32,Alexandria,Stanley,حضرية,Gamal Abdel Nasser St.,47,33.2,24.1,نعم,جاف
2025-05-14,12:46,Giza,Imbaba,حضرية,Giza Square,45,16.7,21.3,نعم,جاف
2025-01-17,12:37,Giza,Sheikh Zayed City,حضرية,Ring Road (Giza Section),65,15.8,18.7,نعم,مبلل
2022-12-25,19:51,Cairo,Gesr El Suez,صناعية,Al Azhar St.,15,29.8,20.7,نعم,تحت الصيانة
2024-11-17,00:26,Giza,Faisal,حضرية,26th of July Corridor,64,16.7,20.4,لا,مبلل
2022-03-03,19:58,Alexandria,Sidi Gaber,حضرية,Corniche Road,76,36.6,16.8,نعم,جاف
2025-06-16,21:08,Alexandria,San Stefano,حضرية,Stanley Bridge,63,16.2,15.8,لا,جاف
2023-10-22,07:13,Qalyubia,Shibin El Qanater,ريفية,Cairo-Ismailia Road,8,14.9,26.9,نعم,جاف
2023-10-24,17:55,Giza,Sheikh Zayed City,حضرية,Giza Square,78,38.4,26.2,نعم,مبلل
2024-01-26,21:43,Alexandria,Smouha,حضرية,El-Montazah Bridge,67,18.1,29.1,لا,جاف
2025-05-29,04:53,Cairo,Gesr El Suez,صناعية,Corniche El Nil,22,18.0,29.6,لا,مبلل
2025-01-24,18:15,Cairo,Downtown,حضرية,15th of May Bridge,56,38.3,21.4,نعم,جاف
2025-05-04,02:53,Cairo,Gesr El Suez,صناعية,6th October Bridge,41,16.5,26.2,لا,جاف
2025-06-28,07:12,Alexandria,Roushdy,حضرية,Desert Road,62,25.1,16.6,نعم,جاف
2022-03-26,17:58,Cairo,Zamalek,حضرية,Autostrad Road,21,30.0,19.8,نعم,مبلل
2022-01-23,09:24,Giza,Haram,حضرية,Ring Road (Giza Section),66,22.5,16.7,نعم,جاف
2022-08-18,11:57,Cairo,Gesr El Suez,صناعية,Nasr Road,45,12.0,31.6,لا,جاف
2024-01-30,12:03,Cairo,Gesr El Suez,صناعية,Al Mehwar Al Markazy,27,14.3,29.1,نعم,جاف
2025-06-08,15:24,Cairo,Nasr City,حضرية,Al Azhar St.,61,30.4,25.6,نعم,جاف
2025-02-21,22:18,Giza,Imbaba,حضرية,El-Lebbini St.,60,15.8,15.6,لا,جاف
2024-03-22,18:02,Alexandria,Miami,حضرية,Gamal Abdel Nasser St.,68,35.64,30.0,نعم,تحت الصيانة
2023-08-02,13:39,Alexandria,Montazah,حضرية,Stanley Bridge,66,16.0,20.2,لا,جاف
2023-07-19,22:25,Cairo,Maadi,حضرية,Salah Salem St.,19,15.6,20.6,لا,مبلل
2023-01-21,23:50,Cairo,Downtown,حضرية,6th October Bridge,79,19.0,22.4,لا,تحت الصيانة
2022-08-18,20:25,Qalyubia,Banha,حضرية,Qalyub Main St.,43,15.6,27.6,لا,مبلل
2023-01-05,19:20,Qalyubia,Khanka,ريفية,Shubra-Banha Road,29,16.8,27.3,نعم,جاف
2022-07-19,19:08,Cairo,Downtown,حضرية,Nasr Road,64,33.4,25.1,نعم,مبلل
2024-08-24,19:28,Cairo,Downtown,حضرية,15th of May Bridge,78,31.5,21.5,نعم,تحت الصيانة
2024-06-04,06:36,Alexandria,San Stefano,حضرية,Kafr Abdou St.,52,15.0,27.4,لا,جاف
2022-03-18,16:19,Alexandria,Smouha,حضرية,Corniche Road,79,35.9,25.9,نعم,مبلل
2022-06-03,00:42,Cairo,Shubra,حضرية,15th of May Bridge,58,19.3,22.0,لا,جاف
2023-11-02,01:18,Alexandria,Roushdy,حضرية,Desert Road,38,17.3,23.8,لا,تحت الصيانة
2022-09-25,20:10,Cairo,Gesr El Suez,صناعية,Suez Road,11,13.6,27.7,لا,جاف
2025-03-28,19:42,Alexandria,Sidi Gaber,حضرية,Kafr Abdou St.,65,35.04,21.1,نعم,تحت الصيانة
2023-02-18,12:20,Giza,6th October City,حضرية,El Bahr El Aazam St.,16,16.2,29.6,نعم,جاف
2022-12-05,10:35,Cairo,Zamalek,حضرية,Ramses St.,51,19.0,25.0,لا,تحت الصيانة
2025-06-05,19:12,Qalyubia,Khanka,ريفية,Obour Access Road,35,20.0,28.8,نعم,جاف
2025-06-12,19:28,Alexandria,Montazah,حضرية,El-Montazah Bridge,80,35.8,21.5,نعم,جاف
2023-10-14,18:28,Giza,Sheikh Zayed City,حضرية,26th of July Corridor,43,29.4,18.8,نعم,جاف
2024-10-03,16:14,Sharqia,Bilbeis,ريفية,Zagazig-Bilbeis Road,34,17.2,43.8,نعم,جاف
2022-09-03,19:19,Giza,Dokki,حضرية,Saqqara Road,16,28.2,29.0,نعم,مبلل
2022-03-13,14:28,Alexandria,Montazah,حضرية,Sidi Gaber Road,80,19.5,17.7,لا,جاف
2022-09-06,16:01,Cairo,Maadi,حضرية,Nasr Road,65,36.4,23.8,نعم,جاف
2023-10-22,11:12,Cairo,Shubra,حضرية,Ring Road,17,18.4,24.4,لا,جاف
2022-02-08,14:01,Giza,Sheikh Zayed City,حضرية,Faisal Road,66,18.8,18.2,لا,جاف
2023-02-26,17:41,Giza,6th October City,حضرية,Faisal Road,24,37.0,17.3,نعم,جاف
2024-11-28,18:56,Giza,Faisal,حضرية,Ring Road (Giza Section),61,35.5,24.6,نعم,جاف
2022-11-17,23:45,Alexandria,Montazah,حضرية,Sidi Gaber Road,15,18.2,22.0,لا,جاف
2023-03-14,13:52,Cairo,Maadi,حضرية,6th October Bridge,53,17.4,15.5,لا,جاف
2022-03-12,05:36,Cairo,Shubra,حضرية,Ramses St.,20,19.4,15.8,لا,مبلل
2024-03-18,21:08,Cairo,Shubra,حضرية,Ramses St.,78,21.12,23.0,لا,جاف
2023-10-02,07:56,Giza,6th October City,حضرية,Alexandria Desert Road,54,27.2,28.4,نعم,تحت الصيانة
2024-01-29,08:24,Alexandria,Miami,حضرية,Corniche Road,17,22.2,17.1,نعم,جاف
2024-01-19,12:50,Giza,Faisal,حضرية,Giza Square,77,19.5,17.3,نعم,تحت الصيانة
2025-04-04,15:29,Alexandria,Montazah,حضرية,El-Horreya Ave,76,34.6,20.2,نعم,جاف
2023-09-14,15:21,Cairo,Zeitoun,حضرية,Al Mehwar Al Markazy,60,38.0,19.7,نعم,جاف
2024-07-16,01:20,Giza,Faisal,حضرية,El Bahr El Aazam St.,73,18.5,23.0,لا,جاف
2022-07-31,21:29,Cairo,Shubra,حضرية,Al Azhar St.,71,17.1,23.0,لا,جاف
2025-03-05,08:09,Cairo,Maadi,حضرية,6th October Bridge,79,32.52,15.5,نعم,مبلل
2023-04-28,19:13,Assiut,Assiut First,حضرية,Assiut Western Bridge,63,40.0,19.2,نعم,جاف
2024-03-04,08:09,Giza,Dokki,حضرية,Pyramids Road,78,22.8,15.2,نعم,مبلل
2025-09-14,09:21,Cairo,Maadi,حضرية,Al Mehwar Al Markazy,31,27.4,20.5,نعم,مبلل
2023-01-29,12:46,Cairo,Nasr City,حضرية,Autostrad Road,50,16.5,27.5,نعم,جاف
2024-03-09,08:04,Giza,Dokki,حضرية,Giza Square,16,29.2,20.9,نعم,جاف
2022-09-25,00:39,Giza,Imbaba,حضرية,El Bahr El Aazam St.,76,19.3,24.6,لا,جاف
2023-06-08,17:41,Cairo,Maadi,حضرية,Autostrad Road,26,39.6,20.9,نعم,جاف
2022-06-02,09:47,Cairo,Downtown,حضرية,6th October Bridge,80,23.0,15.6,نعم,جاف
2022-05-14,17:01,Giza,Faisal,حضرية,26th of July Corridor,19,34.0,27.5,نعم,جاف
2023-11-17,17:53,Cairo,Gesr El Suez,صناعية,Al Mehwar Al Markazy,45,25.5,24.4,نعم,جاف
2024-01-17,20:07,Monufia,Bagour,ريفية,Monufia Highway,36,11.9,31.6,لا,مبلل
2022-05-13,22:35,Giza,Dokki,حضرية,El Mansoureya Road,76,16.5,23.5,لا,جاف
2023-06-22,21:06,Giza,Agouza,حضرية,Alexandria Desert Road,49,19.0,18.1,لا,جاف
2024-09-11,09:55,Alexandria,Smouha,حضرية,Sidi Gaber Road,32,25.6,22.2,نعم,مبلل
2025-09-05,12:48,Cairo,Gesr El Suez,صناعية,Ramses St.,53,15.6,32.9,نعم,جاف
2022-02-07,04:43,Cairo,Gesr El Suez,صناعية,15th of May Bridge,25,17.3,33.2,لا,تحت الصيانة
2024-08-02,11:59,Giza,Sheikh Zayed City,حضرية,Saqqara Road,57,16.3,22.9,لا,جاف
2023-08-09,17:49,Cairo,Shubra,حضرية,Corniche El Nil,62,30.4,22.0,نعم,جاف
2024-01-07,19:59,Cairo,Zamalek,حضرية,Al Fangari Bridge,49,33.7,26.9,نعم,جاف
2023-02-10,08:13,Cairo,Nasr City,حضرية,15th of May Bridge,68,23.7,25.6,نعم,جاف
2022-10-18,20:31,Alexandria,San Stefano,حضرية,El-Montazah Bridge,67,17.8,18.8,لا,تحت الصيانة
2022-06-27,08:53,Giza,Faisal,حضرية,Pyramids Road,20,25.3,16.0,نعم,جاف
2022-04-16,19:06,Cairo,Shubra,حضرية,6th October Bridge,73,40.68,24.8,نعم,جاف
2024-05-16,03:48,Cairo,Nasr City,حضرية,Nasr Road,37,17.6,19.4,لا,جاف
2023-12-13,18:49,Cairo,Nasr City,حضرية,Nasr Road,41,34.5,15.8,نعم,جاف
2023-03-18,00:14,Cairo,Downtown,حضرية,Corniche El Nil,65,19.7,28.1,لا,جاف
2022-07-02,10:46,Cairo,Heliopolis,حضرية,Al Fangari Bridge,32,19.9,22.3,لا,جاف
2024-08-05,09:45,Giza,Agouza,حضرية,Alexandria Desert Road,29,27.7,17.4,نعم,جاف
2025-04-09,06:38,Cairo,Zamalek,حضرية,Salah Salem St.,37,18.9,23.5,لا,جاف
2023-08-01,19:20,Cairo,Nasr City,حضرية,Corniche El Nil,17,37.1,22.1,نعم,تحت الصيانة
2024-07-16,07:29,Cairo,Nasr City,حضرية,Salah Salem St.,44,24.7,29.5,نعم,مبلل
