نوع الحادث,زمن الحادث,تاريخ الحادث,محافظة الحادث,مدينة الحادث,زمن الانقاذ و حل المشكله
ازدحام مروري,15:24,2023-10-23,Alexandria,Roushdy,16 دقيقة
تصادم مع حيوان,21:25,2024-09-22,Giza,Haram,207 دقيقة
سقوط من ارتفاع,17:13,2023-09-16,Aswan,Kom Ombo,97 دقيقة
دهس مشاة,09:44,2023-09-18,Sharqia,Abu Kabir,140 دقيقة
تصادم سيارات,21:15,2024-09-28,Alexandria,Roushdy,84 دقيقة
حريق في السيارة,09:28,2022-10-03,Sohag,Girga,100 دقيقة
حادث دراجة نارية,17:35,2022-10-06,Sharqia,Minya Al Qamh,40 دقيقة
تصادم سيارات,13:54,2024-10-11,Cairo,Heliopolis,53 دقيقة
انقلاب مركبة,19:33,2024-05-09,Assiut,Qusiya,70 دقيقة
عطل فني,07:04,2022-09-01,Qalyubia,Qalyub,31 دقيقة
تصادم سيارات,17:50,2024-02-27,Assiut,Assiut First,125 دقيقة
ازدحام مروري,07:55,2024-03-08,Alexandria,Montazah,190 دقيقة
دهس مشاة,09:57,2022-12-08,Cairo,Maadi,145 دقيقة
حادث دراجة نارية,10:58,2023-09-16,Monufia,Berket El Sabaa,12 دقيقة
ازدحام مروري,10:15,2023-02-23,Luxor,Qurna,111 دقيقة
تصادم سيارات,16:36,2024-03-07,Minya,Deir Mawas,52 دقيقة
حادث دراجة نارية,19:19,2022-03-01,Giza,Imbaba,66 دقيقة
سقوط من ارتفاع,07:46,2024-06-24,Port Said,Arab,240 دقيقة
عطل فني,10:15,2022-09-13,Aswan,Edfu,172 دقيقة
حادث دراجة نارية,22:35,2022-03-11,Beheira,Edku,32 دقيقة
دهس مشاة,19:32,2022-05-14,Qalyubia,Banha,196 دقيقة
حادث دراجة نارية,18:07,2024-10-01,Aswan,Kom Ombo,149 دقيقة
تصادم مع حيوان,18:31,2023-07-11,Monufia,Shebin El Kom,212 دقيقة
ازدحام مروري,17:33,2023-10-28,Alexandria,Miami,126 دقيقة
انقلاب مركبة,16:43,2023-02-05,Cairo,Zeitoun,43 دقيقة
تصادم سيارات,17:00,2023-02-28,Minya,Samalut,107 دقيقة
غرق مركبة,03:21,2022-06-02,Dakahlia,Dikirnis,83 دقيقة
سقوط من ارتفاع,19:06,2023-01-25,Sharqia,Faqus,210 دقيقة
انقلاب مركبة,17:28,2022-05-14,Giza,Faisal,218 دقيقة
حريق في السيارة,08:17,2024-09-18,Beheira,Rashid,86 دقيقة
حادث دراجة نارية,19:53,2022-09-21,Luxor,Luxor First,41 دقيقة
حريق في السيارة,17:58,2022-10-11,Giza,Imbaba,72 دقيقة
حادث دراجة نارية,07:21,2024-04-28,Monufia,Menouf,40 دقيقة
تصادم سيارات,19:02,2022-02-13,Ismailia,First District,186 دقيقة
تصادم سيارات,07:38,2024-06-09,Cairo,Zeitoun,10 دقيقة
غرق مركبة,18:19,2023-05-16,Cairo,Shubra,31 دقيقة
تصادم مع حيوان,09:59,2023-11-08,Cairo,Nasr City,119 دقيقة
تصادم مع حيوان,14:11,2023-03-19,Monufia,Menouf,105 دقيقة
سقوط من ارتفاع,02:56,2022-04-05,Minya,Deir Mawas,231 دقيقة
حادث دراجة نارية,12:56,2023-03-07,Qalyubia,Banha,172 دقيقة
دهس مشاة,00:48,2023-07-24,Minya,Samalut,188 دقيقة
تصادم سيارات,00:53,2024-05-30,Assiut,Dayrout,72 دقيقة
سقوط من ارتفاع,19:32,2023-02-13,Monufia,Quesna,229 دقيقة
تصادم مع حيوان,19:30,2024-01-09,Port Said,Manakh,38 دقيقة
ازدحام مروري,17:01,2024-02-04,Aswan,Kom Ombo,51 دقيقة
غرق مركبة,05:36,2024-02-27,Qalyubia,Shibin El Qanater,27 دقيقة
تصادم مع حيوان,08:01,2023-09-05,Cairo,Shubra,228 دقيقة
غرق مركبة,09:53,2024-06-05,Sohag,Maragha,79 دقيقة
سقوط من ارتفاع,14:39,2024-06-15,Cairo,Zeitoun,147 دقيقة
حريق في السيارة,02:22,2022-04-04,Beheira,Abu Hummus,37 دقيقة
تصادم سيارات,02:29,2024-10-03,Luxor,Armant,102 دقيقة
تصادم مع حيوان,19:40,2022-01-15,Luxor,Armant,38 دقيقة
تصادم سيارات,07:05,2024-11-26,Cairo,Heliopolis,79 دقيقة
دهس مشاة,09:03,2023-10-26,Beheira,Kafr El Dawar,199 دقيقة
انقلاب مركبة,12:54,2022-08-19,Cairo,Heliopolis,53 دقيقة
حادث دراجة نارية,08:23,2024-12-09,Giza,Dokki,82 دقيقة
حريق في السيارة,05:17,2023-05-06,Monufia,Shebin El Kom,84 دقيقة
عطل فني,12:41,2024-10-11,Minya,Beni Mazar,196 دقيقة
سقوط من ارتفاع,15:32,2023-09-24,Aswan,Nasr Nubia,108 دقيقة
دهس مشاة,19:43,2024-05-22,Sohag,Maragha,206 دقيقة
حادث دراجة نارية,17:46,2024-11-06,Sharqia,Bilbeis,32 دقيقة
ازدحام مروري,17:35,2023-03-01,Qalyubia,Khanka,33 دقيقة
دهس مشاة,19:45,2024-07-26,Monufia,Bagour,209 دقيقة
عطل فني,08:16,2022-08-29,Alexandria,Roushdy,211 دقيقة
حادث دراجة نارية,07:51,2022-11-19,Qalyubia,Banha,11 دقيقة
عطل فني,09:55,2024-01-22,Dakahlia,Mit Ghamr,144 دقيقة
حريق في السيارة,17:07,2022-06-08,Assiut,Qusiya,114 دقيقة
تصادم مع حيوان,08:30,2024-05-02,Beheira,Kafr El Dawar,166 دقيقة
انقلاب مركبة,00:49,2023-10-17,Aswan,Aswan First,101 دقيقة
سقوط من ارتفاع,19:45,2023-05-08,Cairo,Shubra,119 دقيقة
حريق في السيارة,07:21,2023-03-30,Alexandria,Roushdy,165 دقيقة
حادث دراجة نارية,19:00,2023-11-25,Luxor,Qurna,230 دقيقة
تصادم مع حيوان,09:18,2022-11-09,Port Said,Sharq,143 دقيقة
تصادم سيارات,20:37,2023-09-29,Monufia,Shebin El Kom,203 دقيقة
حريق في السيارة,19:05,2023-09-07,Sohag,Akhmim,118 دقيقة
دهس مشاة,18:50,2024-02-25,Qalyubia,Khanka,85 دقيقة
غرق مركبة,07:36,2022-10-17,Sohag,Sohag First,110 دقيقة
ازدحام مروري,02:29,2024-06-16,Qalyubia,Shibin El Qanater,58 دقيقة
ازدحام مروري,04:22,2024-04-13,Beheira,Edku,151 دقيقة
تصادم مع حيوان,07:37,2022-07-25,Minya,Maghaghah,99 دقيقة
تصادم سيارات,07:36,2023-06-03,Cairo,Shubra,230 دقيقة
عطل فني,17:47,2022-12-22,Beheira,Kafr El Dawar,185 دقيقة
حادث دراجة نارية,08:34,2024-01-01,Cairo,Maadi,136 دقيقة
دهس مشاة,10:23,2024-04-13,Qalyubia,Toukh,68 دقيقة
عطل فني,07:27,2024-10-05,Port Said,Arab,166 دقيقة
دهس مشاة,17:17,2023-10-14,Qalyubia,Qalyub,201 دقيقة
انقلاب مركبة,12:03,2023-02-25,Aswan,Kom Ombo,92 دقيقة
عطل فني,16:39,2022-08-28,Cairo,Gesr El Suez,124 دقيقة
تصادم سيارات,18:58,2024-01-28,Ismailia,First District,156 دقيقة
دهس مشاة,19:50,2023-11-26,Dakahlia,Dikirnis,81 دقيقة
عطل فني,16:22,2022-06-14,Giza,Imbaba,86 دقيقة
حريق في السيارة,14:55,2024-01-21,Dakahlia,Dikirnis,18 دقيقة
سقوط من ارتفاع,01:51,2023-05-07,Alexandria,Glim,17 دقيقة
عطل فني,09:30,2023-08-17,Cairo,Heliopolis,216 دقيقة
تصادم مع حيوان,08:40,2024-09-11,Ismailia,First District,152 دقيقة
دهس مشاة,16:01,2023-12-12,Giza,Agouza,83 دقيقة
ازدحام مروري,17:24,2022-03-11,Cairo,Heliopolis,221 دقيقة
حادث دراجة نارية,07:06,2023-05-31,Cairo,Zeitoun,61 دقيقة
عطل فني,08:30,2022-07-08,Monufia,Shebin El Kom,124 دقيقة
حريق في السيارة,02:37,2023-05-15,Luxor,Qurna,203 دقيقة
عطل فني,16:53,2024-01-09,Qalyubia,Toukh,101 دقيقة
تصادم سيارات,08:36,2023-11-01,Giza,Faisal,82 دقيقة
تصادم سيارات,02:44,2022-07-19,Assiut,Dayrout,189 دقيقة
تصادم سيارات,07:36,2024-08-11,Giza,Dokki,178 دقيقة
عطل فني,16:29,2022-11-24,Alexandria,Montazah,214 دقيقة
ازدحام مروري,07:18,2022-03-02,Monufia,Shebin El Kom,22 دقيقة
سقوط من ارتفاع,17:31,2023-12-29,Beheira,Rashid,237 دقيقة
سقوط من ارتفاع,13:40,2023-01-07,Giza,Imbaba,33 دقيقة
تصادم مع حيوان,19:38,2023-06-13,Port Said,Arab,201 دقيقة
عطل فني,17:18,2023-02-04,Dakahlia,Mansoura,212 دقيقة
تصادم مع حيوان,19:11,2023-04-09,Aswan,Kom Ombo,170 دقيقة
تصادم مع حيوان,07:41,2023-07-13,Cairo,Heliopolis,197 دقيقة
غرق مركبة,04:40,2022-06-28,Assiut,Manfalout,40 دقيقة
حريق في السيارة,05:17,2022-02-07,Port Said,Sharq,223 دقيقة
تصادم مع حيوان,07:47,2022-01-21,Minya,Maghaghah,163 دقيقة
تصادم سيارات,18:28,2023-10-05,Minya,Mallawi,48 دقيقة
تصادم سيارات,07:37,2022-04-30,Cairo,Nasr City,144 دقيقة
حادث دراجة نارية,03:35,2023-05-18,Assiut,Manfalout,192 دقيقة
حادث دراجة نارية,08:35,2024-02-18,Port Said,Sharq,216 دقيقة
حادث دراجة نارية,17:20,2023-12-23,Assiut,Manfalout,115 دقيقة
تصادم مع حيوان,07:43,2022-09-16,Minya,Beni Mazar,61 دقيقة
ازدحام مروري,16:12,2023-07-22,Giza,Agouza,23 دقيقة
ازدحام مروري,16:38,2024-07-04,Aswan,Nasr Nubia,137 دقيقة
سقوط من ارتفاع,07:36,2022-11-11,Minya,Mallawi,180 دقيقة
تصادم سيارات,18:03,2023-08-05,Port Said,Dawahi,45 دقيقة
حادث دراجة نارية,05:56,2023-07-31,Minya,Beni Mazar,180 دقيقة
ازدحام مروري,13:18,2023-07-30,Alexandria,Roushdy,166 دقيقة
ازدحام مروري,07:53,2024-06-24,Cairo,Gesr El Suez,138 دقيقة
غرق مركبة,17:02,2024-01-07,Sharqia,Faqus,204 دقيقة
تصادم سيارات,05:15,2023-06-14,Assiut,Assiut First,65 دقيقة
تصادم سيارات,16:56,2022-06-09,Ismailia,Arbaeen,187 دقيقة
سقوط من ارتفاع,17:43,2023-06-03,Qalyubia,Qalyub,240 دقيقة
غرق مركبة,07:59,2022-02-11,Monufia,Menouf,163 دقيقة
تصادم مع حيوان,09:07,2022-10-30,Alexandria,Roushdy,77 دقيقة
ازدحام مروري,01:24,2023-12-01,Alexandria,Smouha,38 دقيقة
سقوط من ارتفاع,17:23,2023-08-10,Aswan,Kom Ombo,220 دقيقة
انقلاب مركبة,08:09,2023-01-29,Ismailia,Qantara Sharq,85 دقيقة
حريق في السيارة,01:13,2022-08-16,Alexandria,Glim,74 دقيقة
تصادم مع حيوان,16:18,2024-06-28,Assiut,Abnoub,58 دقيقة
حريق في السيارة,09:18,2022-01-18,Luxor,Armant,221 دقيقة
غرق مركبة,07:02,2022-10-30,Aswan,Aswan First,189 دقيقة
ازدحام مروري,19:08,2024-07-29,Port Said,Sharq,226 دقيقة
تصادم مع حيوان,09:54,2022-09-21,Port Said,Arab,75 دقيقة
تصادم سيارات,08:11,2024-01-16,Cairo,Heliopolis,151 دقيقة
تصادم سيارات,10:06,2023-11-14,Cairo,Zeitoun,136 دقيقة
سقوط من ارتفاع,15:28,2022-11-05,Beheira,Edku,129 دقيقة
انقلاب مركبة,19:48,2022-06-16,Cairo,Gesr El Suez,48 دقيقة
دهس مشاة,07:33,2023-01-03,Sohag,Maragha,71 دقيقة
ازدحام مروري,17:57,2024-12-19,Ismailia,Sheikh Zayed,27 دقيقة
عطل فني,18:59,2024-06-04,Port Said,Arab,90 دقيقة
غرق مركبة,18:10,2022-11-02,Cairo,Nasr City,225 دقيقة
ازدحام مروري,05:06,2022-10-11,Dakahlia,Bilqas,100 دقيقة
حريق في السيارة,03:45,2022-02-03,Sharqia,Minya Al Qamh,162 دقيقة
تصادم سيارات,08:06,2023-07-07,Beheira,Abu Hummus,238 دقيقة
تصادم سيارات,16:04,2024-01-27,Ismailia,Arbaeen,124 دقيقة
عطل فني,07:14,2023-04-07,Cairo,Shubra,49 دقيقة
تصادم مع حيوان,08:28,2023-09-08,Beheira,Rashid,187 دقيقة
ازدحام مروري,07:16,2023-03-18,Beheira,Kafr El Dawar,107 دقيقة
تصادم مع حيوان,09:32,2023-04-17,Minya,Mallawi,79 دقيقة
تصادم مع حيوان,09:41,2024-10-12,Qalyubia,Shibin El Qanater,211 دقيقة
غرق مركبة,16:35,2024-12-02,Qalyubia,Shibin El Qanater,18 دقيقة
دهس مشاة,00:24,2022-07-01,Monufia,Berket El Sabaa,185 دقيقة
سقوط من ارتفاع,12:19,2024-10-08,Sohag,Akhmim,136 دقيقة
حادث دراجة نارية,19:42,2024-02-05,Minya,Beni Mazar,200 دقيقة
تصادم سيارات,05:39,2023-05-30,Aswan,Edfu,219 دقيقة
غرق مركبة,09:20,2024-03-05,Cairo,Nasr City,214 دقيقة
انقلاب مركبة,17:34,2024-05-01,Sharqia,Zagazig,102 دقيقة
دهس مشاة,12:26,2023-07-21,Sohag,Akhmim,60 دقيقة
عطل فني,07:25,2024-12-26,Port Said,Dawahi,95 دقيقة
تصادم مع حيوان,08:59,2023-08-14,Ismailia,Arbaeen,121 دقيقة
تصادم سيارات,16:11,2022-04-26,Monufia,Menouf,40 دقيقة
تصادم سيارات,11:00,2024-12-12,Port Said,Arab,156 دقيقة
انقلاب مركبة,09:04,2023-02-08,Luxor,Armant,17 دقيقة
عطل فني,16:11,2024-09-10,Aswan,Nasr Nubia,176 دقيقة
دهس مشاة,19:25,2024-10-04,Sohag,Akhmim,39 دقيقة
غرق مركبة,16:25,2024-02-26,Beheira,Abu Hummus,79 دقيقة
حريق في السيارة,09:59,2024-03-17,Dakahlia,Dikirnis,221 دقيقة
تصادم سيارات,08:01,2023-03-06,Luxor,Luxor First,44 دقيقة
تصادم سيارات,09:36,2023-05-25,Qalyubia,Khanka,151 دقيقة
دهس مشاة,16:32,2024-05-21,Port Said,Dawahi,236 دقيقة
عطل فني,10:58,2023-10-04,Port Said,Arab,154 دقيقة
عطل فني,16:04,2022-09-29,Assiut,Dayrout,35 دقيقة
حريق في السيارة,08:30,2022-05-20,Luxor,Armant,131 دقيقة
سقوط من ارتفاع,07:16,2023-01-09,Giza,Faisal,231 دقيقة
سقوط من ارتفاع,21:56,2024-03-22,Alexandria,Smouha,151 دقيقة
سقوط من ارتفاع,22:34,2023-10-10,Aswan,Aswan First,24 دقيقة
انقلاب مركبة,16:44,2023-06-13,Assiut,Assiut First,127 دقيقة
عطل فني,14:00,2023-03-20,Sharqia,Bilbeis,191 دقيقة
حريق في السيارة,08:56,2023-08-14,Luxor,Qurna,112 دقيقة
حادث دراجة نارية,01:09,2023-08-14,Giza,Imbaba,82 دقيقة
دهس مشاة,18:15,2022-07-01,Luxor,Qurna,93 دقيقة
غرق مركبة,08:51,2022-06-08,Beheira,Damanhour,175 دقيقة
حادث دراجة نارية,01:05,2024-03-22,Aswan,Kom Ombo,157 دقيقة
ازدحام مروري,20:00,2023-02-25,Dakahlia,Talkha,117 دقيقة
غرق مركبة,18:18,2022-12-13,Giza,Agouza,16 دقيقة
سقوط من ارتفاع,20:16,2023-12-11,Dakahlia,Mansoura,64 دقيقة
تصادم مع حيوان,07:13,2022-05-14,Assiut,Manfalout,44 دقيقة
دهس مشاة,18:27,2024-05-15,Giza,Dokki,219 دقيقة
انقلاب مركبة,07:45,2022-10-31,Qalyubia,Khanka,202 دقيقة
غرق مركبة,06:04,2024-03-23,Qalyubia,Shibin El Qanater,186 دقيقة
ازدحام مروري,03:09,2023-04-14,Cairo,Nasr City,58 دقيقة
ازدحام مروري,08:53,2024-06-19,Cairo,Maadi,154 دقيقة
عطل فني,06:41,2023-10-12,Sharqia,Zagazig,25 دقيقة
عطل فني,18:03,2024-02-20,Sharqia,Zagazig,78 دقيقة
انقلاب مركبة,04:43,2024-10-28,Alexandria,Roushdy,172 دقيقة
غرق مركبة,08:03,2022-11-14,Dakahlia,Bilqas,198 دقيقة
تصادم مع حيوان,07:49,2023-10-07,Giza,Haram,231 دقيقة
تصادم مع حيوان,09:02,2022-04-05,Port Said,Dawahi,135 دقيقة
تصادم سيارات,20:03,2023-11-25,Sharqia,Faqus,101 دقيقة
غرق مركبة,07:34,2022-06-20,Sharqia,Bilbeis,65 دقيقة
تصادم مع حيوان,19:36,2024-10-27,Alexandria,Montazah,15 دقيقة
حريق في السيارة,17:12,2024-09-26,Sohag,Tahta,167 دقيقة
حريق في السيارة,09:53,2024-04-27,Giza,Dokki,119 دقيقة
حريق في السيارة,17:26,2022-11-04,Alexandria,Roushdy,54 دقيقة
تصادم سيارات,18:37,2022-04-18,Luxor,Qurna,186 دقيقة
انقلاب مركبة,21:57,2024-02-29,Sohag,Tahta,16 دقيقة
سقوط من ارتفاع,04:04,2024-09-07,Beheira,Edku,19 دقيقة
غرق مركبة,16:04,2022-12-27,Aswan,Aswan First,37 دقيقة
حريق في السيارة,18:38,2024-10-24,Dakahlia,Talkha,206 دقيقة
دهس مشاة,11:16,2024-10-20,Luxor,Luxor First,121 دقيقة
ازدحام مروري,09:51,2023-04-21,Cairo,Gesr El Suez,101 دقيقة
ازدحام مروري,06:43,2022-12-06,Port Said,Sharq,180 دقيقة
حريق في السيارة,08:46,2023-08-13,Monufia,Quesna,55 دقيقة
تصادم مع حيوان,15:42,2022-07-03,Sohag,Tahta,191 دقيقة
عطل فني,16:50,2024-11-12,Ismailia,Qantara Sharq,58 دقيقة
انقلاب مركبة,03:58,2023-10-11,Sohag,Tahta,173 دقيقة
غرق مركبة,08:47,2023-07-22,Assiut,Dayrout,231 دقيقة
دهس مشاة,16:47,2024-09-03,Aswan,Edfu,126 دقيقة
تصادم مع حيوان,18:17,2023-11-26,Dakahlia,Mansoura,234 دقيقة
حادث دراجة نارية,08:25,2023-02-16,Port Said,Manakh,84 دقيقة
ازدحام مروري,10:07,2023-07-01,Dakahlia,Mansoura,121 دقيقة
